20MICRONS 20190826 32 32.95 30.9 32.05 32914
21STCENMGM 20190826 12.05 12.05 12.05 12.05 107
3IINFOTECH 20190826 1.75 1.75 1.65 1.75 731739
3MINDIA 20190826 21011 21099 20501.05 20563.55 720
3PLAND 20190826 5.75 5.75 5.75 5.75 100
5PAISA 20190826 121.5 129.6 121.5 128 17024
63MOONS 20190826 120.95 120.95 120.95 120.95 19535
8KMILES 20190826 52.9 52.95 50.6 52.95 86242
A2ZINFRA 20190826 9.75 10.4 9.7 9.95 585178
AARTIDRUGS 20190826 497.4 539.45 473.5 478.45 9580
AARTIIND 20190826 1540 1540 1461.05 1507.35 117625
AARVEEDEN 20190826 12.5 13.8 12.45 13 8910
AAVAS 20190826 1540 1540 1477 1518.5 10131
ABAN 20190826 22.5 23.25 21.45 22.4 79848
ABB 20190826 1360.2 1428 1332.55 1401.2 53101
ABBOTINDIA 20190826 8899 9275 8840 9230.65 7374
ABCAPITAL 20190826 88 89.4 85.2 88.55 1236874
ABFRL 20190826 191.5 195 185.1 194.15 545418
ABSLNN50ET 20190826 254.2 256.74 253.7 256.74 4
ACC 20190826 1490 1499 1441.6 1495 1307793
ACCELYA 20190826 732.3 756.8 732.3 740.75 4003
ACE 20190826 56 58.85 55.05 56.4 364957
ADANIENT 20190826 132.1 135.95 128.3 135.2 5507570
ADANIGAS 20190826 150 151.45 143.7 148 320649
ADANIGREEN 20190826 45 45 42.5 43.65 445215
ADANIPORTS,20190826,366,375,349.35,368.2,4974219
ADANIPOWER,20190826,59.25,60.1,56.55,59.15,11589064
ADANITRANS,20190826,225,230,224.3,229.1,77762
ADFFOODS,20190826,253,266.5,246.65,263.4,44571
ADHUNIK,20190826,1.15,1.15,1.05,1.15,8617
ADHUNIKIND,20190826,87.35,89.3,86,86.65,20558
ADLABS,20190826,3.85,3.85,3.55,3.8,77336
ADORWELD,20190826,295.9,295.95,282,287.45,1818
ADROITINFO,20190826,11,11,10.6,10.6,11306
ADSL,20190826,13.9,13.9,12.55,13.5,45349
ADVANIHOTR,20190826,53.1,53.1,51.2,52.75,3267
ADVENZYMES,20190826,146.9,148.9,144.1,148.3,33680
AEGISCHEM,20190826,198.5,210.95,194.5,209.2,217459
AFFLE,20190826,790,790.05,779,781.3,21221
AGARIND,20190826,133,133,117.95,122.55,3962
AGCNET,20190826,126,127,119,120.4,32492
AGLSL,20190826,47.05,50.95,46.2,49.6,200
AGRITECH,20190826,44,46.9,43.15,44.5,13913
AGROPHOS,20190826,82.1,90,81.9,89.5,344
AHLEAST,20190826,164,164,154.05,161,937
AHLUCONT,20190826,304.95,307.85,296.55,301,38022
AHLWEST,20190826,285,286.9,275.1,278,5075
AIAENG,20190826,1635,1635,1557.05,1568.3,23870
AIONJSW,20190826,14.6,14.9,14.1,14.7,19006
AIRAN,20190826,17.9,18.8,16.25,16.4,20548
AJANTPHARM,20190826,962.2,974,945.8,951.85,62441
AJMERA,20190826,112.9,114.95,108,112.2,60070
AKSHARCHEM,20190826,193.05,196,189.95,190.4,2815
AKSHOPTFBR,20190826,6.7,6.75,6.4,6.75,694148
AKZOINDIA,20190826,1710,1723.95,1691.1,1700.6,14435
ALANKIT,20190826,19.8,19.8,17.45,18.9,436091
ALBERTDAVD,20190826,338,338,321,329.6,13358
ALBK,20190826,35,35,32.5,33.85,2595710
ALCHEM,20190826,1.05,1.15,1.05,1.15,935
ALEMBICLTD,20190826,41,42,38.95,38.95,61983
ALICON,20190826,385.15,395,382.55,394.85,1317
ALKALI,20190826,40.15,41,39.55,40.4,4604
ALKEM,20190826,1772,1814.9,1770,1789.6,36482
ALKYLAMINE,20190826,740.05,749.85,716.5,739.85,7523
ALLCARGO,20190826,92.5,94.45,88.5,91.8,82850
ALLSEC,20190826,260,283,256.5,265.05,8398
ALMONDZ,20190826,9.5,9.5,9.5,9.5,12270
ALOKTEXT,20190826,2.7,2.75,2.55,2.6,5960468
ALPA,20190826,14.5,15.1,14.3,14.9,18131
ALPHAGEO,20190826,190.05,194.95,187.75,192.25,8925
ALPSINDUS,20190826,0.55,0.55,0.55,0.55,3200
AMARAJABAT,20190826,623,627,611.6,619,276343
AMBER,20190826,825,870.05,819,853.25,47930
AMBIKCO,20190826,864.6,864.65,837,856.4,13879
AMBUJACEM,20190826,202.4,203.35,194.6,202.65,3332737
AMDIND,20190826,17.3,17.35,16.4,16.85,8158
AMJLAND,20190826,16.85,17.05,16.05,16.5,1920
AMRUTANJAN,20190826,283.25,288,280,281.95,15306
ANANTRAJ,20190826,25.6,25.8,24.5,24.65,145936
ANDHRABANK,20190826,18.7,18.75,18,18.35,665078
ANDHRACEMT,20190826,2.1,2.1,2.1,2.1,11549
ANDHRSUGAR,20190826,273.9,279.95,273.9,278.1,7463
ANIKINDS,20190826,7.15,8,7.1,7.55,3360
ANKITMETAL,20190826,0.35,0.45,0.35,0.45,37376
ANSALAPI,20190826,4.1,4.1,3.8,3.9,47196
ANSALHSG,20190826,4.1,4.3,3.8,4.2,75816
ANTGRAPHIC,20190826,0.85,0.85,0.85,0.85,41696
ANUP,20190826,383.5,396.85,375.05,390.3,21806
APARINDS,20190826,558.8,558.8,526.3,536.55,23233
APCL,20190826,148.7,148.7,141,145.05,5296
APCOTEXIND,20190826,209.95,209.95,203,204.65,4177
APEX,20190826,204,204.45,195,196.9,26869
APLAPOLLO,20190826,1306,1347.95,1259.15,1272.3,17705
APLLTD,20190826,506,509,495.95,500.8,29291
APOLLO,20190826,75.75,77.1,73,74.2,24058
APOLLOHOSP,20190826,1444,1472.55,1422.55,1461,501588
APOLLOTYRE,20190826,167.05,168,164,166.45,1727710
APOLSINHOT,20190826,736,750,719.95,722.8,1290
APTECHT,20190826,128,129.8,122.95,128.25,156369
ARCHIDPLY,20190826,24.95,25.5,23.6,24.2,4124
ARCHIES,20190826,17.05,17.7,16.7,17.2,6537
ARCOTECH,20190826,2.15,2.15,2.05,2.1,12100
ARIES,20190826,50.4,52.85,49.6,52,34425
ARIHANT,20190826,16,16.95,15.95,16.95,8
ARIHANTSUP,20190826,29.5,29.5,28.1,29.4,2497
ARMANFIN,20190826,365.8,365.95,347.05,351.95,1391
AROGRANITE,20190826,34,35.95,32.5,33.8,4745
ARROWGREEN,20190826,48,48,43.65,45.9,2773
ARROWTEX,20190826,10.95,10.95,9.75,10.2,1559
ARSHIYA,20190826,16.45,19.5,16.4,18.05,24860
ARSSINFRA,20190826,24.3,24.45,22.15,22.15,16842
ARVIND,20190826,48.15,49.45,46.4,48.8,4825321
ARVINDFASN,20190826,529.95,529.95,485.15,515.25,42788
ARVSMART,20190826,87.1,90.95,87,88.7,5961
ASAHIINDIA,20190826,177,184,171.25,177.8,12658
ASAHISONG,20190826,127,127,117.8,121.45,1425
ASAL,20190826,31.6,32,29.5,30.35,4603
ASHAPURMIN,20190826,23.7,25.6,23.5,25.6,15820
ASHIANA,20190826,108.4,114,108.3,110.7,23985
ASHIMASYN,20190826,6.7,8,6.5,6.95,157796
ASHOKA,20190826,110.75,111.45,101.5,102.55,412560
ASHOKLEY,20190826,65,66.25,59.6,63.15,85564840
ASIANHOTNR,20190826,94,100.15,90.3,98.6,2345
ASIANPAINT,20190826,1590,1600,1577.15,1597.55,1153556
ASIANTILES,20190826,211.15,221.95,209.25,219.8,135483
ASPINWALL,20190826,135.8,139,133,139,50
ASSAMCO,20190826,1.1,1.1,1,1.05,68507
ASTEC,20190826,363.8,367.8,360,364.65,4153
ASTERDM,20190826,122.1,122.1,117.75,118.25,42746
ASTRAL,20190826,1255.5,1265,1229.9,1242.45,33099
ASTRAMICRO,20190826,72.55,74.9,71.65,74.05,144292
ASTRAZEN,20190826,1764.9,1788,1734.45,1771.4,11395
ASTRON,20190826,87.9,92.65,86.2,87.95,357173
ATFL,20190826,498.5,498.5,478.35,479.3,13593
ATLANTA,20190826,5.9,6.15,5.7,6.1,34700
ATLASCYCLE,20190826,35.55,36.95,35.55,36.05,1741
ATNINTER,20190826,0.2,0.2,0.1,0.15,498
ATUL,20190826,3597,3609.95,3501,3528.5,29956
ATULAUTO,20190826,210,233.55,206,218.45,62885
AUBANK,20190826,674.7,679.8,655.25,677.6,231971
AURIONPRO,20190826,100,100,95.3,96.45,21843
AUROPHARMA,20190826,604.8,607,588.85,590,2170014
AUSOMENT,20190826,33.7,33.7,29.1,31.35,867
AUTOAXLES,20190826,799,815,765.2,808.45,12358
AUTOIND,20190826,36.5,36.5,33.6,33.8,7890
AUTOLITIND,20190826,22,22,19.25,20.4,785
AVADHSUGAR,20190826,207,211,198.05,206.45,36140
AVANTIFEED,20190826,284.8,289.75,281.5,286.8,137090
AVTNPL,20190826,21.3,21.35,20.9,21.1,28966
AXISBANK,20190826,677.25,686.65,660.55,683.7,8864341
AXISCADES,20190826,60.05,62.25,58.4,61.45,150035
AXISGOLD,20190826,3350,3465,3332,3443.85,2175
AXISNIFTY,20190826,1121,1134.08,1112.74,1134.08,100
AYMSYNTEX,20190826,29.55,33.85,29.05,31.45,3704
BAGFILMS,20190826,3.1,3.6,3,3.35,936739
BAJAJ-AUTO,20190826,2794.7,2794.7,2686,2736.8,577286
BAJAJCON,20190826,247.2,256,246.05,253.95,92635
BAJAJELEC,20190826,368.6,372.75,357.25,366.3,52284
BAJAJFINSV,20190826,7149,7223.65,6909.55,7190.8,547043
BAJAJHIND,20190826,5.35,5.35,5.15,5.25,1008678
BAJAJHLDNG,20190826,3348,3442.95,3335,3344.05,11342
BAJFINANCE,20190826,3274,3338.8,3183.05,3324.25,2950017
BALAJITELE,20190826,49.4,50.55,46.95,49.3,23744
BALAMINES,20190826,255,261,232.95,245.2,40320
BALAXI,20190826,85,85,84.5,84.5,210
BALKRISHNA,20190826,16.5,17.3,16,17,3219
BALKRISIND,20190826,753,756,733.95,745.3,230925
BALLARPUR,20190826,0.55,0.65,0.55,0.65,1692787
BALMLAWRIE,20190826,169,171.9,166.1,171,68933
BALPHARMA,20190826,36.1,37.35,35.05,36.35,10396
BALRAMCHIN,20190826,124.4,125.4,119.8,123.1,841721
BANARBEADS,20190826,41,41,40.95,41,9
BANARISUG,20190826,1150,1152.95,1085,1091.9,661
